id,title,required_skills
1,Frontend Developer,"JavaScript,HTML,CSS"
2,Backend Developer,"Java,C#,SQL"
3,Full Stack Developer,"JavaScript,Ruby,HTML,CSS,SQL"
4,Data Analyst,"SQL,Python,Statistics"
5,Software Engineer,"Ruby,Python,Java"
6,Systems Engineer,"C#,SQL,Dev Ops"
7,JavaScript Developer,"JavaScript,HTML"
8,Java Developer,"Java,SQL"
9,Python Developer,"Python,SQL,"
10,Frontend Developer,"JavaScript,HTML,CSS"
11,Backend Developer,"Java,C#,SQL"
12,Full Stack Developer,"JavaScript,Ruby,HTML,CSS,SQL"
13,Data Analyst,"SQL,Python,Statistics"
14,Software Engineer,"Ruby,Python,Java"
15,Systems Engineer,"C#,SQL,Dev Ops"
16,JavaScript Developer,"JavaScript,HTML"
17,Java Developer,"Java,SQL"
18,Python Developer,"Python,SQL,"
